"INSTNM","CONTROL","UGDS","PRICE","SAT_AVG_ALL","PCTPELL","PCTFLOAN","MD_EARN_WNE_P10","GRAD_DEBT_MDN_SUPP"
"Yale University","nonprofit",5473,20168,1493,0.1186,0.0934,74200,13774
"Delaware State University","public",3654,15655,894,0.4846,0.7084,33600,28500
"University of Delaware","public",18222,16178,1194,0.1359,0.5156,54900,24195
"Wesley College","nonprofit",1431,20473,853,0.501,0.8632,41600,31000
"American University","nonprofit",7094,36074,1252,0.1666,0.5213,55900,24589
"Catholic University of America","nonprofit",3529,34770,1130,0.1252,0.5615,53900,26000
"Gallaudet University","nonprofit",1001,14203,849,0.5278,0.388,26000,17750
"George Washington University","nonprofit",10433,30057,1297,0.142,0.4003,65400,25350
"Georgetown University","nonprofit",7211,27506,1414,0.1298,0.2723,84000,17000
"Howard University","nonprofit",6961,23191,1105,0.4831,0.6846,46000,27000
"The Baptist College of Florida","nonprofit",454,11195,962,0.5878,0.5602,30800,20052
"Barry University","nonprofit",3913,23985,938,0.5045,0.6733,44100,28250
"Bethune-Cookman University","nonprofit",3897,16447,803,0.7758,0.8867,29400,36250
"Lynn University","nonprofit",1911,35396,980,0.1849,0.2784,37700,18833
"Johnson University Florida","nonprofit",220,15120,1017,0.6689,0.7384,26300,20199
"University of Central Florida","public",52280,13724,1185,0.3814,0.45,42900,18350
"Clearwater Christian College","nonprofit",409,18051,974,0.4757,0.5437,36900,20250
"Eckerd College","nonprofit",2062,30879,1153,0.2307,0.6836,40700,27000
"Florida Agricultural and Mechanical University","public",7995,12327,948,0.6091,0.6897,35400,27750
"Florida Atlantic University","public",24228,13372,1058,0.3945,0.3986,40700,16836
"Flagler College-St Augustine","nonprofit",2767,21197,1058,0.304,0.5999,36900,23677.5
"Florida College","nonprofit",555,20640,1063,0.3387,0.6362,38200,13000
"Adventist University of Health Sciences","nonprofit",1870,16735,928,0.3412,0.5815,50100,22702
"Florida Institute of Technology","nonprofit",3348,27291,1176,0.2306,0.4133,55200,26987.5
"Florida International University","public",39102,11845,1089,0.5642,0.4628,43700,17250
"Florida Southern College","nonprofit",2352,22756,1147,0.3315,0.6799,38500,24873
"Florida State University","public",32432,15827,1228,0.3321,0.4659,44000,20887
"University of Florida","public",31879,11778,1273,0.3152,0.3184,51100,15000
"University of Miami","nonprofit",10828,32297,1330,0.1762,0.2944,54500,21500
"University of North Florida","public",13884,11870,1133,0.3212,0.4,41100,17402
"Northwood University-Florida","nonprofit",669,19976,981,0.3431,0.585,43200,22750
"Nova Southeastern University","nonprofit",4582,25476,1143,0.4414,0.5785,45200,25250
"Palm Beach Atlantic University","nonprofit",2585,19326,1071,0.3367,0.5452,37100,24750
"University of South Florida-Main Campus","public",30279,10027,1161,0.4186,0.4781,41000,19500
"St Thomas University","nonprofit",931,21620,919,0.5082,0.5971,44600,22452
"Southeastern University","nonprofit",2946,19942,965,0.3977,0.5955,32000,22500
"The University of Tampa","nonprofit",6811,26863,1094,0.2463,0.6224,43900,26000
"Trinity Baptist College","nonprofit",352,11703,899,0.594,0.8054,28100,16343
"Warner University","nonprofit",1011,15235,863,0.6529,0.8265,40300,23250
"Webber International University","nonprofit",687,20520,946,0.4565,0.5954,34800,21562
"The University of West Florida","public",9794,11227,1065,0.3923,0.4655,35800,18750
"Abraham Baldwin Agricultural College","public",3244,6953,927,0.4629,0.4493,32000,15085.5
"Albany State University","public",3261,12718,875,0.7172,0.8923,31500,32555
"Andrew College","nonprofit",295,16979,798,0.6139,0.8544,27500,12875
"Armstrong State University","public",6162,14668,1006,0.4275,0.5514,38400,21000
"Point University","nonprofit",1399,13916,917,0.5483,0.7283,29600,30638
"Clark Atlanta University","nonprofit",2567,31787,860,0.7185,0.8722,33800,31000
"Berry College","nonprofit",2065,23126,1183,0.2588,0.5525,38100,24000
"Brenau University","nonprofit",1581,17241,985,0.3612,0.4741,42000,27429
"College of Coastal Georgia","public",2833,11034,920,0.5323,0.4818,28500,16500
"Clayton  State University","public",6064,11519,930,0.5761,0.6618,37000,26250
"Columbus State University","public",6715,11129,976,0.4686,0.5948,35000,25039
"Covenant College","nonprofit",1066,21715,1175,0.2871,0.5471,39600,21441
"Emmanuel College","nonprofit",727,15308,960,0.4547,0.5993,31200,27000
"Emory University","nonprofit",7730,28901,1366,0.2132,0.3683,59400,19000
"Fort Valley State University","public",2172,15001,873,0.7701,0.8758,27900,36250
"Georgia Institute of Technology-Main Campus","public",13996,10994,1400,0.1823,0.3372,74500,24250
"Georgia Southwestern State University","public",2415,12472,970,0.4747,0.5906,35200,21500
"Georgia College and State University","public",5827,16941,1132,0.2189,0.4715,38900,21500
"Georgia Southern University","public",17232,16552,1099,0.3849,0.6236,39500,22500
"Georgia State University","public",24619,15853,1055,0.5194,0.5879,40800,23090
"University of Georgia","public",26738,12208,1248,0.2383,0.4011,47300,19000
"Gordon State College","public",3864,11175,859,0.5534,0.5524,31100,16807.5
"Kennesaw State University","public",23058,16392,1076,0.4067,0.5462,40000,22750
"LaGrange College","nonprofit",874,21939,1035,0.4545,0.7821,39600,27000
"Mercer University","nonprofit",4418,20347,1205,0.4062,0.6531,46800,25000
"Morehouse College","nonprofit",2106,34124,1004,0.5161,0.7839,41600,27000
"Oglethorpe University","nonprofit",1064,20168,1139,0.3685,0.7085,43900,27000
"Paine College","nonprofit",841,16899,760,0.7781,0.8389,26500,38185
"Piedmont College","nonprofit",1286,16674,968,0.4699,0.7157,39700,23958
"Savannah College of Art and Design","nonprofit",8846,37132,1081,0.2663,0.5142,35100,27000
"Savannah State University","public",4659,10530,847,0.7447,0.8561,29600,33202
"Shorter University","nonprofit",1449,19316,951,0.4644,0.671,43600,29000
"Spelman College","nonprofit",2135,34308,1005,0.4777,0.7172,46000,26996
"Southern Polytechnic State University","public",5890,12033,1134,0.4129,0.5438,55800,25125
"Toccoa Falls College","nonprofit",807,17976,970,0.5552,0.6782,24900,23750
"Truett-McConnell College","nonprofit",729,17626,971,0.2098,0.2522,32700,23500
"Valdosta State University","public",9235,14206,1018,0.4693,0.652,36800,25247
"University of West Georgia","public",9982,14596,950,0.5062,0.6596,37100,24250
"Young Harris College","nonprofit",1180,15854,990,0.4011,0.6338,36600,26000
"Chaminade University of Honolulu","nonprofit",2017,19277,958,0.4641,0.4425,38400,22000
"University of Hawaii at Hilo","public",3295,10242,936,0.4706,0.4515,33500,19197
"University of Hawaii at Manoa","public",13667,11415,1070,0.3015,0.3746,43000,19000
"Boise Bible College","nonprofit",172,19878,996,0.6793,0.6576,25500,19596
"Boise State University","public",16206,15897,1042,0.3464,0.4669,35600,23500
"University of Idaho","public",8162,13548,1057,0.3994,0.5421,39700,24428
"The College of Idaho","nonprofit",1113,17936,1076,0.3768,0.6187,38000,27000
"Lewis-Clark State College","public",3168,12029,923,0.378,0.4628,33300,22250
"Northwest Nazarene University","nonprofit",1300,20523,1052,0.3382,0.6081,35900,25500
"Brigham Young University-Idaho","nonprofit",23865,7945,1041,0.4733,0.2138,38800,11000
"School of the Art Institute of Chicago","nonprofit",2783,41196,1065,0.2174,0.4504,31900,25000
"Aurora University","nonprofit",3199,16460,1010,0.4156,0.7113,41100,21677.5
"Blackburn College","nonprofit",578,15010,989,0.5064,0.7937,37100,26000
"Bradley University","nonprofit",4585,26096,1162,0.2466,0.6966,51400,27000
"Chicago State University","public",3874,11125,870,0.7118,0.8703,33000,30269
"University of Chicago","nonprofit",5729,26280,1505,0.1248,0.2667,64000,12500
"Concordia University-Chicago","nonprofit",1491,17937,1031,0.4233,0.7531,37300,25000
"Eastern Illinois University","public",7525,17127,1010,0.3958,0.6669,39900,23250
"Elmhurst College","nonprofit",2773,20603,1089,0.299,0.6179,48400,22000
"Eureka College","nonprofit",652,17573,1053,0.4162,0.776,35500,25375
"Greenville College","nonprofit",1055,19268,1056,0.4004,0.7626,36200,21500
"University of Illinois at Chicago","public",16635,13811,1125,0.5115,0.5013,51100,18750
"Benedictine University","nonprofit",3750,19722,1030,0.367,0.6008,51000,23000
"University of Illinois at Urbana-Champaign","public",31875,18375,1326,0.2058,0.3893,56600,20500
"Illinois Wesleyan University","nonprofit",1883,24774,1249,0.1911,0.6162,54400,27000
"Illinois Institute of Technology","nonprofit",3046,19667,1266,0.3103,0.446,69300,27000
"Illinois State University","public",18056,20052,1110,0.2665,0.6017,45500,22500
"Judson University","nonprofit",1051,19792,1080,0.439,0.5507,39800,23500
"Lewis University","nonprofit",4605,18373,1070,0.3161,0.6766,46500,25000
"Lincoln Christian University","nonprofit",553,17352,1006,0.5217,0.7352,27900,22750
"Lincoln College","nonprofit",1184,16590,1125,0.5927,0.704,30000,12000
"Loyola University Chicago","nonprofit",10042,29899,1212,0.2817,0.6092,50700,25000
"MacMurray College","nonprofit",546,17486,970,0.5818,0.8782,37300,28155
"McKendree University","nonprofit",2452,16987,1048,0.3622,0.5611,43700,24447.5
"Millikin University","nonprofit",2082,18388,1046,0.4013,0.7603,42000,27000
"Monmouth College","nonprofit",1281,16661,1033,0.4231,0.7801,39500,27436
"North Central College","nonprofit",2685,22336,1125,0.2567,0.6943,45400,25515
"North Park University","nonprofit",2181,17752,1025,0.3775,0.7005,42500,26500
"Northern Illinois University","public",15391,18899,1030,0.4433,0.6685,43800,23347
"Northwestern University","nonprofit",8725,27291,1461,0.14,0.3237,64400,18900
"Northeastern Illinois University","public",8284,16619,890,0.4836,0.313,36300,14293
"Olivet Nazarene University","nonprofit",3504,18180,1105,0.3292,0.7235,38500,25000
"Quincy University","nonprofit",1075,16734,1024,0.4189,0.7023,38300,22727.5
"Rockford University","nonprofit",1017,20977,1009,0.5113,0.8148,39300,25700
