"INSTNM","CONTROL","UGDS","PRICE","SAT_AVG_ALL","PCTPELL","PCTFLOAN","MD_EARN_WNE_P10","GRAD_DEBT_MDN_SUPP"
"Roberts Wesleyan College","nonprofit",1335,19182,1059,0.4236,0.7536,42100,21946.5
"Rochester Institute of Technology","nonprofit",12635,25256,1240,0.294,0.6058,59300,27000
"St Bonaventure University","nonprofit",1735,22617,1066,0.2941,0.6977,44100,27000
"St Francis College","nonprofit",2661,14604,935,0.4374,0.5069,47200,24774
"St. Thomas Aquinas College","nonprofit",1147,19789,958,0.2488,0.4714,45700,23250
"Siena College","nonprofit",3085,24656,1127,0.2371,0.7049,54200,27000
"Skidmore College","nonprofit",2612,27173,1241,0.1431,0.3167,43000,19500
"Saint Joseph's College-New York","nonprofit",3985,15627,1031,0.3204,0.5416,52000,22143.5
"Saint John Fisher College","nonprofit",2834,23666,1091,0.3096,0.7668,45200,24980
"St John's University-New York","nonprofit",10878,28032,1107,0.3009,0.5599,52700,25910
"SUNY College of Technology at Alfred","public",3607,15293,982,0.4765,0.6557,36900,14750
"SUNY College of Agriculture and Technology at Cobleskill","public",2512,15364,877,0.5243,0.6824,33700,17492
"Farmingdale State College","public",7768,9516,982,0.2863,0.3045,46600,15958.5
"Morrisville State College","public",2728,15904,895,0.605,0.7612,31500,20000
"SUNY at Albany","public",12659,16144,1098,0.3904,0.5944,50100,21489.5
"SUNY at Binghamton","public",13372,18536,1287,0.2861,0.4653,57400,20000
"University at Buffalo","public",19488,16293,1165,0.2965,0.4693,48400,19500
"Stony Brook University","public",16170,13519,1254,0.3351,0.4496,55000,19351
"SUNY College of Environmental Science and Forestry","public",1718,18321,1193,0.2697,0.5746,42000,20450
"SUNY Polytechnic Institute","public",1890,15920,1099,0.4169,0.5721,49600,17500
"SUNY College at Brockport","public",6951,14949,1056,0.401,0.7013,41300,21500
"SUNY Buffalo State","public",9185,11899,939,0.4952,0.6549,38100,21500
"SUNY at Fredonia","public",4900,16708,1056,0.3586,0.7107,39600,24750
"SUNY College at Geneseo","public",5497,18305,1221,0.251,0.4898,46200,20500
"State University of New York at New Paltz","public",6464,16353,1122,0.2962,0.5239,43600,19500
"SUNY Oneonta","public",5803,17209,1086,0.2988,0.6184,42300,22500
"SUNY College at Oswego","public",7102,16916,1106,0.4116,0.6916,40800,22500
"SUNY at Purchase College","public",3925,19103,1095,0.331,0.6098,34400,22844
"SUNY College at Old Westbury","public",4173,7756,995,0.5073,0.4662,43200,15609.5
"SUNY College at Plattsburgh","public",5430,14741,1031,0.3566,0.6407,39500,22000
"SUNY Maritime College","public",1624,18431,1106,0.2423,0.5022,74500,26500
"Syracuse University","nonprofit",14768,29658,1184,0.2608,0.5506,56600,27000
"Vassar College","nonprofit",2389,21002,1403,0.2325,0.3714,49300,16725
"School of Visual Arts","forprofit",3577,41212,1029,0.2531,0.4621,39800,27000
"Wells College","nonprofit",525,20692,1053,0.4906,0.8315,33700,27000
"Yeshiva University","nonprofit",2814,24098,1221,0.1879,0.2554,56000,19000
"Appalachian State University","public",16116,14165,1148,0.2714,0.4698,36400,20000
"Barton College","nonprofit",998,20282,962,0.4664,0.7843,36000,27000
"Belmont Abbey College","nonprofit",1545,22625,1000,0.5086,0.7485,36000,27000
"Cabarrus College of Health Sciences","nonprofit",434,13990,970,0.3858,0.7361,40700,15800
"Campbell University","nonprofit",4228,25051,1025,0.3751,0.7505,42600,23992.5
"Chowan University","nonprofit",1478,15353,773,0.6892,0.8648,33400,32000
"Davidson College","nonprofit",1765,15757,1337,0.1342,0.2008,51800,16385
"Duke University","nonprofit",6480,25369,1454,0.1404,0.313,76700,7500
"East Carolina University","public",21207,14981,1036,0.3357,0.5681,39000,24360
"Elizabeth City State University","public",1763,2509,866,0.7072,0.774,29500,26000
"Elon University","nonprofit",5782,34102,1225,0.0898,0.3281,46500,23951
"Fayetteville State University","public",4862,6794,892,0.5776,0.6723,30500,21278
"Gardner-Webb University","nonprofit",2688,20173,1020,0.24,0.4028,36000,23988
"Greensboro College","nonprofit",741,21547,876,0.4271,0.732,34900,26000
"High Point University","nonprofit",4197,36542,1096,0.115,0.4791,37100,23250
"Johnson C Smith University","nonprofit",1375,20797,808,0.6647,0.7988,30800,31142
"Livingstone College","nonprofit",1301,15936,720,0.8529,0.9247,24100,41000
"Louisburg College","nonprofit",697,18577,775,0.7596,0.8909,25500,16000
"Mars Hill University","nonprofit",1396,17523,924,0.559,0.7819,31800,27000
"Methodist University","nonprofit",2171,22483,962,0.3995,0.5818,38800,27000
"Montreat College","nonprofit",647,19453,1016,0.4361,0.7833,38800,27498
"University of Mount Olive","nonprofit",3258,13331,902,0.5281,0.7425,38100,27250
"North Carolina A & T State University","public",8894,10573,910,0.6091,0.7947,33000,28500
"University of North Carolina at Asheville","public",3425,12421,1191,0.3365,0.4625,34500,21451.5
"University of North Carolina at Chapel Hill","public",17908,13243,1328,0.2128,0.3198,51000,16149
"University of North Carolina at Charlotte","public",22120,12479,1079,0.4045,0.5881,41500,23187
"University of North Carolina at Greensboro","public",14497,12186,1043,0.4447,0.576,36000,22864
"North Carolina Central University","public",5554,10464,886,0.6498,0.8241,31600,31000
"University of North Carolina School of the Arts","public",852,13625,1116,0.3162,0.5834,31200,26922.5
"North Carolina State University at Raleigh","public",22925,14811,1253,0.2221,0.4176,47600,20500
"North Carolina Wesleyan College","nonprofit",1864,21365,923,0.5974,0.7971,36200,22555
"University of North Carolina Wilmington","public",12686,15604,1145,0.2899,0.5178,39400,20584
"William Peace University","nonprofit",1077,18742,890,0.5338,0.7687,33900,23500
"University of North Carolina at Pembroke","public",5303,11266,930,0.55,0.669,32300,21000
"Pfeiffer University","nonprofit",951,16691,948,0.4385,0.755,36000,24000
"Piedmont International University","nonprofit",190,13950,937,0.6193,0.5279,30300,20427
"Queens University of Charlotte","nonprofit",1621,24290,1051,0.308,0.6505,37800,26000
"Saint Augustine's University","nonprofit",1016,27654,740,0.6205,0.6844,25300,35198
"Salem College","nonprofit",946,14669,1102,0.5832,0.8018,31900,25000
"St Andrews University","nonprofit",601,22272,946,0.4269,0.7429,34800,21562
"Warren Wilson College","nonprofit",819,22323,1134,0.3675,0.5771,25800,23250
"Wingate University","nonprofit",1941,16915,1001,0.3838,0.6939,37800,26500
"Winston-Salem State University","public",4743,8200,859,0.5796,0.7191,32300,27000
"Western Carolina University","public",8603,13395,1035,0.3841,0.5689,35800,21810
"Dickinson State University","public",1231,10703,957,0.2519,0.4479,38800,19500
"University of Jamestown","nonprofit",866,16705,1178,0.2681,0.6408,39600,27000
"University of Mary","nonprofit",1928,15176,1050,0.2402,0.6492,45100,22722
"Minot State University","public",2570,10567,1035,0.2225,0.3841,37200,18951
"University of North Dakota","public",10978,16289,1090,0.2045,0.5067,46400,24000
"North Dakota State University-Main Campus","public",11763,15069,1092,0.2143,0.5492,46700,24000
"Trinity Bible College","nonprofit",212,16261,946,0.6768,0.9091,25500,27592
"Valley City State University","public",952,11711,1020,0.2304,0.4666,37900,21550
"University of Akron Main Campus","public",18148,18025,1050,0.3928,0.5964,34300,26000
"University of Akron Wayne College","public",1233,10676,1050,0.3411,0.4361,34300,26000
"Art Academy of Cincinnati","nonprofit",201,19213,961,0.4612,0.801,31500,27000
"Ashland University","nonprofit",3227,20881,1048,0.2855,0.5807,39000,27000
"Aultman College of Nursing and Health Sciences","nonprofit",356,18201,1085,0.5196,0.6863,54100,19000
"Bluffton University","nonprofit",896,21774,1029,0.4055,0.8139,37600,27000
"Bowling Green State University-Firelands","public",1573,10484,1012,0.4179,0.4588,38800,26000
"Bowling Green State University-Main Campus","public",13697,17944,1012,0.3312,0.6624,38800,26000
"Capital University","nonprofit",2636,21585,1100,0.311,0.7152,41100,27000
"Case Western Reserve University","nonprofit",4807,26647,1375,0.1867,0.5419,68600,24250
"Cedarville University","nonprofit",3082,22025,1187,0.2191,0.5082,40700,24994
"Central State University","public",1728,11662,804,0.7736,0.8369,24300,39793
"The Christ College of Nursing and Health Sciences","nonprofit",712,23930,947,0.4299,0.7682,48400,20000
"Cincinnati Christian University","nonprofit",602,17591,969,0.5,0.8521,32000,26350
"University of Cincinnati-Main Campus","public",23795,22054,1165,0.2566,0.5409,38900,23100
"University of Cincinnati-Clermont College","public",2816,13176,1165,0.4237,0.525,38900,23100
"University of Cincinnati-Blue Ash College","public",4790,12752,1165,0.4264,0.5475,38900,23100
"Ohio Christian University","nonprofit",3306,17186,930,0.4943,0.606,34100,26736
"Cleveland Institute of Art","nonprofit",551,31236,1048,0.4022,0.7648,33800,29000
"Cleveland State University","public",11308,16558,1014,0.4318,0.6196,38600,22656
"Columbus College of Art and Design","nonprofit",1193,31901,1044,0.3813,0.6803,31700,27000
"University of Dayton","nonprofit",8305,33236,1194,0.1159,0.4905,50600,26000
"Defiance College","nonprofit",801,24642,975,0.4451,0.8105,37800,27000
"The University of Findlay","nonprofit",2767,21926,1035,0.1978,0.491,40800,23734
"Good Samaritan College of Nursing and Health Science","nonprofit",353,24560,910,0.4535,0.7887,43700,23750
"Heidelberg University","nonprofit",1096,19983,1027,0.4327,0.8509,36200,29000
"Hiram College","nonprofit",1217,21967,1004,0.4396,0.7654,37000,27000
"John Carroll University","nonprofit",3069,22223,1116,0.253,0.6707,50400,27000
"Kent State University at Ashtabula","public",2128,12708,1050,0.591,0.6978,36000,25997
"Kent State University at East Liverpool","public",1370,12145,1050,0.5522,0.6557,36000,25997
"Kent State University at Stark","public",4449,10751,1050,0.5197,0.69,36000,25997
"Kent State University at Trumbull","public",2711,11990,1050,0.595,0.7172,36000,25997
"Kent State University at Tuscarawas","public",1942,11376,1050,0.4837,0.5907,36000,25997
"Kent State University at Salem","public",1686,11114,1050,0.4978,0.6543,36000,25997
"Kent State University at Kent","public",22530,18703,1050,0.3328,0.6208,36000,25997
"Kent State University at Geauga","public",2491,11289,1050,0.4041,0.552,36000,25997
"Kenyon College","nonprofit",1651,29203,1332,0.0968,0.2985,44700,19000
"Lake Erie College","nonprofit",761,20005,966,0.3731,0.6768,31600,27000
"Lourdes University","nonprofit",1449,19013,950,0.5127,0.814,34200,30500
"Malone University","nonprofit",1496,19475,1045,0.407,0.7434,39200,25000
"Marietta College","nonprofit",1336,22779,1105,0.2853,0.7655,39500,27000
"Miami University-Hamilton","public",3187,11714,1240,0.4595,0.5742,45500,25000
"Miami University-Middletown","public",1607,12268,1240,0.4232,0.5443,45500,25000
"Miami University-Oxford","public",15454,23591,1240,0.1389,0.3999,45500,25000
"Mount Carmel College of Nursing","nonprofit",926,15876,1030,0.208,0.5164,55500,19000
"University of Mount Union","nonprofit",2144,24115,1057,0.3311,0.7476,41900,27000
"Mount Vernon Nazarene University","nonprofit",1706,19194,1046,0.4429,0.713,39500,26769
"Mount Saint Joseph University","nonprofit",1463,16447,1005,0.3109,0.6373,40800,28000
"Muskingum University","nonprofit",1598,18589,1009,0.4074,0.7789,38100,27000
"Notre Dame College","nonprofit",1820,19237,937,0.3504,0.6868,41100,27000
"Oberlin College","nonprofit",2961,29486,1349,0.1071,0.3518,40300,26000
"Ohio Dominican University","nonprofit",1350,20750,1005,0.3342,0.5766,37500,28713
"Ohio Northern University","nonprofit",2234,24341,1180,0.2269,0.701,58200,27000
"Ohio State University Agricultural Technical Institute","public",688,18333,1292,0.3079,0.493,42900,21959.5
"Ohio State University-Lima Campus","public",988,12274,1292,0.3739,0.5807,42900,21959.5
"Ohio State University-Mansfield Campus","public",1092,15732,1292,0.4649,0.6589,42900,21959.5
"Ohio State University-Marion Campus","public",1146,10912,1292,0.4187,0.5309,42900,21959.5
"Ohio State University-Newark Campus","public",2311,15556,1292,0.4149,0.5983,42900,21959.5
"Ohio State University-Main Campus","public",43733,18068,1292,0.2243,0.4401,42900,21959.5
"Ohio University-Eastern Campus","public",953,8331,1106,0.2915,0.3721,39600,21250
"Ohio University-Chillicothe Campus","public",2182,10284,1106,0.6004,0.7223,39600,21250
"Ohio University-Southern Campus","public",1852,10830,1106,0.5701,0.6481,39600,21250
"Ohio University-Lancaster Campus","public",2256,10007,1106,0.4307,0.5767,39600,21250
"Ohio University-Main Campus","public",23390,20351,1106,0.2634,0.5722,39600,21250
"Ohio University-Zanesville Campus","public",1944,8537,1106,0.3947,0.5245,39600,21250
"Otterbein University","nonprofit",2271,25542,1094,0.2441,0.6729,41200,27000
"Franciscan University of Steubenville","nonprofit",2065,25447,1183,0.2562,0.7618,35000,23316.5
"University of Toledo","public",15182,14749,1031,0.3597,0.5686,40000,24000
"Ursuline College","nonprofit",694,15098,1014,0.4373,0.8472,42300,28000
"Walsh University","nonprofit",2257,19547,1043,0.3501,0.7677,41700,28000
"Wilberforce University","nonprofit",364,19352,735,0.8963,0.5097,31200,18786
"Wilmington College","nonprofit",1196,21267,970,0.4052,0.7735,38100,27058
"The College of Wooster","nonprofit",2029,23904,1229,0.1957,0.4943,46400,26000
"Xavier University","nonprofit",4464,27701,1113,0.1755,0.569,47300,27000
"Youngstown State University","public",10695,10922,985,0.4903,0.6583,33600,27000
"Bacone College","nonprofit",939,22764,845,0.9392,0.892,29700,26350
"Oklahoma Wesleyan University","nonprofit",1153,22515,999,0.3756,0.6845,46100,21276.5
"University of Central Oklahoma","public",14728,11216,990,0.3498,0.4066,38300,21325
"East Central University","public",3636,6100,1005,0.4647,0.4099,34500,18010
"Northeastern State University","public",6914,7424,1009,0.5013,0.4937,34800,17750
"Northwestern Oklahoma State University","public",1876,8326,930,0.3356,0.402,35300,14290
"Oklahoma Christian University","nonprofit",1938,18707,1127,0.2819,0.5321,36900,24500
"Oklahoma Panhandle State University","public",1136,10983,910,0.408,0.4705,34800,18187
"Oklahoma State University-Main Campus","public",20636,14408,1137,0.2847,0.4242,43800,20083.5
"Oklahoma Baptist University","nonprofit",1824,17200,1171,0.364,0.5092,35900,26000
"Oklahoma City University","nonprofit",1793,31694,1165,0.1984,0.4666,40100,23835
"University of Oklahoma-Norman Campus","public",20538,16533,1189,0.2423,0.3656,46700,19500
"Oral Roberts University","nonprofit",2947,20477,1010,0.4227,0.6283,35100,27000
"Rogers State University","public",3611,12406,850,0.4584,0.4391,31900,16000
"University of Science and Arts of Oklahoma","public",845,6014,1039,0.4279,0.488,32000,22274
"Southeastern Oklahoma State University","public",3372,7979,970,0.4786,0.4523,34100,15864
"Southwestern Christian University","nonprofit",774,17878,981,0.5933,0.8881,28500,25000
"Southwestern Oklahoma State University","public",4051,10686,1010,0.3758,0.6434,37200,16675
"University of Tulsa","nonprofit",3441,26844,1296,0.1505,0.2958,43600,26000
"Concordia University-Portland","nonprofit",1243,21125,1037,0.4568,0.7284,40400,25000
"Eastern Oregon University","public",2997,15551,948,0.4856,0.5482,37200,22466
"George Fox University","nonprofit",2494,24600,1081,0.3448,0.6464,41700,22000
"Linfield College-McMinnville Campus","nonprofit",1643,24865,1083,0.2513,0.6481,52200,25000
"Multnomah University","nonprofit",418,21748,1047,0.5571,0.8584,29400,23500
"Northwest Christian University","nonprofit",492,17662,987,0.531,0.8079,43100,23750
"Oregon Institute of Technology","public",3457,15339,1044,0.3257,0.4464,52000,25322.5
"Oregon State University","public",22925,18202,1112,0.3168,0.5067,46000,23000
"University of Oregon","public",20252,15487,1116,0.2539,0.393,41700,21500
"Pacific University","nonprofit",1802,27592,1090,0.3261,0.8555,41200,26604
"Portland State University","public",19662,13992,1030,0.4065,0.5142,42100,23368.5
"University of Portland","nonprofit",3648,30165,1195,0.2104,0.504,53800,24906
"Reed College","nonprofit",1335,20880,1383,0.1814,0.3584,35200,16000
"Southern Oregon University","public",4397,13755,1029,0.3849,0.4756,36800,23334
"Corban University","nonprofit",924,21331,1016,0.4071,0.7158,35100,25000
"Willamette University","nonprofit",2009,28009,1209,0.2081,0.4922,49300,23500
"Western Oregon University","public",4923,16759,1001,0.4285,0.6276,38700,24500
"Allegheny College","nonprofit",1968,25524,1170,0.2628,0.6742,48400,29046
"DeSales University","nonprofit",2383,27239,1033,0.278,0.6555,47700,26500
"Alvernia University","nonprofit",2272,26975,970,0.3496,0.795,41900,27000
"Summit University of Pennsylvania","nonprofit",570,16249,1004,0.5706,0.5571,29000,17772
"Arcadia University","nonprofit",2482,23588,1105,0.349,0.7941,42900,26972
"Bloomsburg University of Pennsylvania","public",9109,18226,970,0.3029,0.6925,43900,26000
"Bryn Mawr College","nonprofit",1303,27518,1313,0.1604,0.3983,53600,25000
"Bucknell University","nonprofit",3528,32487,1317,0.1175,0.3938,69100,27000
"Cabrini University","nonprofit",1334,25649,897,0.3583,0.7382,40900,26000
"California University of Pennsylvania","public",6031,17947,934,0.3909,0.7428,38100,25000
"Carlow University","nonprofit",1323,18061,941,0.3405,0.5652,39400,27000
"Carnegie Mellon University","nonprofit",5819,31634,1436,0.1384,0.376,76200,25250
"Cedar Crest College","nonprofit",1310,17428,1005,0.4137,0.8157,46300,29183
"Chestnut Hill College","nonprofit",1428,24654,968,0.474,0.7818,39300,27000
"Clarion University of Pennsylvania","public",4744,17136,928,0.393,0.7119,36800,26000
"Delaware Valley University","nonprofit",1823,26975,990,0.2844,0.694,39500,26551
"Drexel University","nonprofit",16681,35219,1186,0.2059,0.5583,62600,25500
"Duquesne University","nonprofit",5969,26345,1144,0.1983,0.6548,54600,27000
"East Stroudsburg University of Pennsylvania","public",6125,17598,954,0.3235,0.6434,43000,24250
"Eastern University","nonprofit",2381,21806,1038,0.3891,0.6999,41300,25872
"Edinboro University of Pennsylvania","public",5494,15053,928,0.4524,0.7718,34400,27000
"Elizabethtown College","nonprofit",1754,26906,1133,0.2061,0.7202,48000,27000
"Gannon University","nonprofit",2763,20466,1037,0.2903,0.6207,45900,27000
"Geneva College","nonprofit",1404,18481,1072,0.3945,0.9189,38900,26000
"Gwynedd Mercy University","nonprofit",1941,24399,961,0.3628,0.7483,51600,25556
"Haverford College","nonprofit",1187,22112,1422,0.1533,0.2266,56600,14000
"Holy Family University","nonprofit",1797,14959,925,0.3552,0.6705,48500,27000
"Immaculata University","nonprofit",2012,30702,962,0.2285,0.5863,47600,26020.5
"Indiana University of Pennsylvania-Main Campus","public",12032,18204,958,0.3666,0.7244,37400,27000
"Keystone College","nonprofit",1431,16938,921,0.5858,0.8304,30600,25789.5
"Kutztown University of Pennsylvania","public",8516,19723,960,0.3233,0.725,41200,26000
"La Roche College","nonprofit",1269,21609,926,0.3617,0.741,40700,25000
"La Salle University","nonprofit",4122,24667,994,0.3745,0.6965,50900,27000
"Lafayette College","nonprofit",2471,30759,1300,0.1054,0.3717,68800,25185
"Lancaster Bible College","nonprofit",1336,17369,996,0.4017,0.6628,30000,18750
"Lehigh University","nonprofit",5034,31267,1326,0.1476,0.4397,76700,25000
"Lincoln University","public",1576,15146,862,0.6275,0.8836,33500,31326.5
"Lock Haven University","public",4448,16651,947,0.4035,0.7819,38400,27000
"St Margaret School of Nursing","nonprofit",203,24449,1008,0.4728,0.6902,52900,16000
"Lycoming College","nonprofit",1340,20257,1043,0.3313,0.7559,43500,27000
"Manor College","nonprofit",749,14967,758,0.5852,0.738,38500,17500
"Mansfield University of Pennsylvania","public",2518,16122,950,0.4428,0.7851,37800,27000
"Marywood University","nonprofit",1878,22957,1030,0.3632,0.7882,36400,27000
"Messiah College","nonprofit",2713,25455,1125,0.2032,0.6406,41900,25989.5
"Millersville University of Pennsylvania","public",7070,16438,1012,0.3324,0.6792,42900,25500
"Misericordia University","nonprofit",2407,24849,1074,0.2871,0.7203,48100,27000
"Moravian College","nonprofit",1564,25390,1022,0.3097,0.8525,48600,27000
"Mount Aloysius College","nonprofit",1565,21327,913,0.3987,0.7485,37100,23508
"Neumann University","nonprofit",2464,22741,853,0.3937,0.7769,39500,27000
"Pennsylvania State University-Penn State Erie-Behrend College","public",3891,22431,1089,0.3119,0.6921,47700,27000
"Pennsylvania State University-Penn State New Kensington","public",627,13332,1089,0.3309,0.6691,47700,27000
"Pennsylvania State University-Penn State Shenango","public",468,14885,1089,0.4982,0.7201,47700,27000
"Pennsylvania State University-Penn State Wilkes-Barre","public",493,14482,1089,0.3465,0.6287,47700,27000
"Pennsylvania State University-Penn State Worthington Scranton","public",1073,13297,1089,0.4762,0.7207,47700,27000
"Pennsylvania State University-Penn State Lehigh Valley","public",775,13730,1089,0.3746,0.5951,47700,27000
"Pennsylvania State University-Penn State Altoona","public",3829,22193,1089,0.3204,0.6879,47700,27000
"Pennsylvania State University-Penn State Beaver","public",665,16357,1089,0.3969,0.6743,47700,27000
"Pennsylvania State University-Penn State Berks","public",2699,22159,1089,0.3529,0.6726,47700,27000
"Pennsylvania State University-Penn State Harrisburg","public",3595,20444,1089,0.3341,0.6176,47700,27000
"Pennsylvania State University-Penn State Brandywine","public",1334,13608,1089,0.3378,0.5999,47700,27000
"Pennsylvania State University-Penn State DuBois","public",490,14532,1089,0.4673,0.6989,47700,27000
"Pennsylvania State University-Penn State Fayette- Eberly","public",666,13164,1089,0.4255,0.6608,47700,27000
"Pennsylvania State University-Penn State Hazleton","public",803,19332,1089,0.4721,0.7413,47700,27000
"Pennsylvania State University-Main Campus","public",39958,28201,1089,0.1661,0.5021,47700,27000
"Pennsylvania State University-Penn State Greater Allegheny","public",554,15757,1089,0.4671,0.6677,47700,27000
"Pennsylvania State University-Penn State Mont Alto","public",837,19975,1089,0.3659,0.6703,47700,27000
"Pennsylvania State University-Penn State Abington","public",3505,11843,1089,0.4173,0.5883,47700,27000
"Pennsylvania State University-Penn State Schuylkill","public",755,15403,1089,0.509,0.7324,47700,27000
"Pennsylvania State University-Penn State York","public",948,13391,1089,0.3085,0.5416,47700,27000
"University of Pennsylvania","nonprofit",10678,24370,1452,0.1444,0.2226,79700,21500
"Philadelphia University","nonprofit",2885,28523,1074,0.3275,0.7223,48300,27800
"The University of the Arts","nonprofit",1726,33994,1006,0.3116,0.7407,29800,27000
"Cairn University-Langhorne","nonprofit",805,18186,993,0.423,0.8448,32600,27000
"University of the Sciences","nonprofit",1626,23998,1169,0.27,0.726,95800,27000
"University of Pittsburgh-Bradford","public",1466,16811,1194,0.4443,0.7927,48800,26813.5
"University of Pittsburgh-Greensburg","public",1578,16954,1194,0.5182,0.7072,48800,26813.5
"University of Pittsburgh-Johnstown","public",2864,19420,1194,0.306,0.7419,48800,26813.5
"University of Pittsburgh-Pittsburgh Campus","public",18474,28000,1194,0.1658,0.5447,48800,26813.5
"University of Pittsburgh-Titusville","public",367,17217,1194,0.5504,0.842,48800,26813.5
"Point Park University","nonprofit",3100,22058,995,0.3906,0.7387,36600,27000
"Reading Hospital School of Health Sciences","nonprofit",345,19646,930,0.4223,0.7357,54800,15745.5
"Robert Morris University","nonprofit",4546,24252,1051,0.325,0.6288,43700,27000
"Saint Francis University","nonprofit",1932,23559,1033,0.2568,0.7881,46400,27000
"Saint Vincent College","nonprofit",1564,19956,1034,0.2663,0.745,45300,27000
"University of Scranton","nonprofit",3909,32745,1125,0.1984,0.6743,55200,27000
"Shippensburg University of Pennsylvania","public",6246,19514,981,0.3058,0.6939,44600,25000
"Slippery Rock University of Pennsylvania","public",7529,17690,999,0.3156,0.7278,38900,25250
"Swarthmore College","nonprofit",1530,22937,1433,0.1493,0.2445,48500,18100
"Temple University","public",27669,19918,1125,0.3467,0.6599,47200,25999.5
"Thiel College","nonprofit",1025,21352,970,0.4575,0.8768,37000,28000
"University of Valley Forge","nonprofit",711,21842,941,0.4098,0.6722,28800,27000
"Valley Forge Military College","nonprofit",322,33564,800,0.5203,0.7897,40500,12000
"Villanova University","nonprofit",6895,35565,1313,0.1146,0.4337,73900,26352
"Waynesburg University","nonprofit",1501,18121,1008,0.3323,0.8473,45100,27000
"West Chester University of Pennsylvania","public",13610,21703,1079,0.2434,0.6285,46100,23875
"Westminster College","nonprofit",1142,21810,1055,0.3237,0.7494,43500,27000
"Widener University-Main Campus","nonprofit",3144,27188,1023,0.2725,0.717,52900,28000
"Wilkes University","nonprofit",2316,25446,1045,0.34,0.7265,49900,26918
"Wilson College","nonprofit",516,19495,976,0.3695,0.634,32800,27000
"York College Pennsylvania","nonprofit",4720,20705,1050,0.252,0.6765,47500,26247
"Brown University","nonprofit",6264,24854,1435,0.158,0.2291,59700,15500
"Rhode Island College","public",7271,9509,918,0.4136,0.575,39100,21500
"University of Rhode Island","public",13205,18382,1077,0.2728,0.6714,47600,23250
"Rhode Island School of Design","nonprofit",2014,40552,1254,0.1596,0.4015,44300,27000
"Anderson University","nonprofit",2500,17318,1038,0.2964,0.6399,33600,27000
"Charleston Southern University","nonprofit",2949,18234,997,0.4718,0.7246,35700,27741
"College of Charleston","public",10069,16838,1137,0.2293,0.4181,40500,22251
"Citadel Military College of South Carolina","public",2688,17685,1073,0.2442,0.5239,51900,25000
"Claflin University","nonprofit",1779,19987,806,0.8381,0.9433,27600,29600
"Clemson University","public",17083,16306,1261,0.1826,0.4304,50800,21830.5
"Coker College","nonprofit",1138,14221,992,0.5717,0.8171,31100,30112
"Columbia International University","nonprofit",552,18100,1035,0.476,0.5034,29900,20750
"Columbia College","nonprofit",1117,16745,1033,0.5642,0.7747,32400,27000
"Converse College","nonprofit",822,18163,1045,0.4424,0.7681,31200,27000
"Erskine College","nonprofit",587,17553,1016,0.3802,0.6116,37600,27000
"Francis Marion University","public",3249,10563,933,0.5635,0.6858,33000,31250
"Lander University","public",2670,13203,936,0.4925,0.6708,33600,27000
"Limestone College","nonprofit",3039,21788,1020,0.5196,0.7242,36400,28750
"Newberry College","nonprofit",1076,19434,945,0.4726,0.743,30300,27000
"North Greenville University","nonprofit",2183,21132,1152,0.3844,0.456,29600,21500
"Presbyterian College","nonprofit",1032,16876,1090,0.2529,0.5085,40800,25875
"University of South Carolina-Aiken","public",3023,13391,970,0.4,0.566,35800,26250
"University of South Carolina-Beaufort","public",1790,15395,933,0.3869,0.6009,32200,23292
"University of South Carolina-Columbia","public",24623,17622,1192,0.2282,0.4841,42200,23000
"University of South Carolina-Lancaster","public",963,9149,1192,0.3054,0.2877,42200,23000
"University of South Carolina-Salkehatchie","public",723,12021,802,0.5279,0.5485,25200,12000
"University of South Carolina-Sumter","public",729,9319,917,0.3561,0.3626,31200,9788
"University of South Carolina-Union","public",294,10155,774,0.4401,0.4318,31700,18500
"Coastal Carolina University","public",9058,14361,996,0.3921,0.7055,36300,25000
"South Carolina State University","public",2753,18891,810,0.7198,0.8131,28900,34500
"University of South Carolina-Upstate","public",5056,14659,947,0.4623,0.6496,35800,23000
"Spartanburg Methodist College","nonprofit",790,13210,870,0.5098,0.6614,28400,12000
"Winthrop University","public",4653,16138,1053,0.4043,0.6385,36200,27000
"Wofford College","nonprofit",1654,22563,1194,0.187,0.3957,49700,25000
"Augustana University","nonprofit",1619,19197,1162,0.2062,0.6158,41800,27000
"Black Hills State University","public",2910,13706,951,0.3443,0.5587,34400,25625
"Dakota State University","public",1770,15044,1026,0.2337,0.4315,37300,24750
"Dakota Wesleyan University","nonprofit",765,17186,1044,0.3877,0.7815,34500,27000
"Mount Marty College","nonprofit",634,32044,990,0.25,0.4448,32300,27000
"Northern State University","public",1693,14597,1025,0.2272,0.4303,33600,24847
"Presentation College","nonprofit",705,21117,980,0.4829,0.756,35900,25000
"South Dakota School of Mines and Technology","public",2336,17723,1181,0.2564,0.552,50600,27000
"South Dakota State University","public",10003,16152,1068,0.2596,0.5995,40700,25245
"University of Sioux Falls","nonprofit",1082,19267,1028,0.3073,0.7227,36500,23489
"University of South Dakota","public",6331,16129,1044,0.275,0.5723,39400,24250
"Aquinas College","nonprofit",406,19717,1123,0.4139,0.8119,45400,21426
"Austin Peay State University","public",9003,11325,1010,0.5244,0.5781,34200,23202
"Baptist Memorial College of Health Sciences","nonprofit",1169,9287,1110,0.5653,0.8339,54100,30000
"Belmont University","nonprofit",5778,33717,1176,0.1729,0.609,41800,22707
